Var1,Var2
P4507B12r,Bile acid synthesis
P4508B11r,Bile acid synthesis
SCP2x_1,Bile acid synthesis
VLCS2p,Bile acid synthesis
VLCSp,Bile acid synthesis
GMPS,Bile acid synthesis
r0573,Bile acid synthesis
r0629,Bile acid synthesis
r0630,Bile acid synthesis
r0650,Bile acid synthesis
r0672,Bile acid synthesis
r0688,Bile acid synthesis
r0698,Bile acid synthesis
r0706,Bile acid synthesis
r0743,Bile acid synthesis
r0744,Bile acid synthesis
r0750,Bile acid synthesis
r0797,Bile acid synthesis
RE1804M,Bile acid synthesis
RE1807C,Bile acid synthesis
RE2112R,Bile acid synthesis
RE1810M,Bile acid synthesis
RE1826C,Bile acid synthesis
RE1834M,Bile acid synthesis
RE1835C,Bile acid synthesis
RE1845C,Bile acid synthesis
RE2625M,Bile acid synthesis
RE2626M,Bile acid synthesis
RE2635C,Bile acid synthesis
RE2636C,Bile acid synthesis
RE2814M,Bile acid synthesis
RE2649M,Bile acid synthesis
RE3251C,Bile acid synthesis
RE3251M,Bile acid synthesis
RE3252C,Bile acid synthesis
RE3346M,Bile acid synthesis
7KLITCHOLc,Bile acid synthesis
HC02197c,Bile acid synthesis
HC02198c,Bile acid synthesis
DCHOLESTANCOAc,Bile acid synthesis
HC02195te,Bile acid synthesis
HC02196te,Bile acid synthesis
HMR_1738,Bile acid synthesis
HMR_1740,Bile acid synthesis
HMR_1746,Bile acid synthesis
HMR_1747,Bile acid synthesis
HMR_1748,Bile acid synthesis
HMR_1756,Bile acid synthesis
HMR_1762,Bile acid synthesis
HMR_1765,Bile acid synthesis
HMR_1767,Bile acid synthesis
HMR_1768,Bile acid synthesis
HMR_1771,Bile acid synthesis
HMR_1781,Bile acid synthesis
HMR_1783,Bile acid synthesis
HMR_1785,Bile acid synthesis
HMR_1786,Bile acid synthesis
HMR_1838,Bile acid synthesis
HMR_1627,Bile acid synthesis
HMR_1637,Bile acid synthesis
HMR_1653,Bile acid synthesis
HMR_1706,Bile acid synthesis
CA24GSr,Bile acid synthesis
CASULT,Bile acid synthesis
CDCA6AH,Bile acid synthesis
DCA24GSr,Bile acid synthesis
DCA3GSr,Bile acid synthesis
HDCA6GSc,Bile acid synthesis
GCASULT,Bile acid synthesis
GUDCASULT,Bile acid synthesis
HCA24GSr,Bile acid synthesis
LCA3GSr,Bile acid synthesis
TCASULT,Bile acid synthesis
HMR_1635,Bile acid synthesis
TCDCA6AH,Bile acid synthesis
TUDCASULT,Bile acid synthesis
3DHCAS,Bile acid synthesis
3DHCDCAS,Bile acid synthesis
3DHLCAS,Bile acid synthesis
ACOX22x,Bile acid synthesis
ACOX2x,Bile acid synthesis
AKR1C42,Bile acid synthesis
AKR1D2,Bile acid synthesis
BAAT2x,Bile acid synthesis
BAAT4x_cho,Bile acid synthesis
RE2112C,Bile acid synthesis
RE2625C,Bile acid synthesis
RE2626C,Bile acid synthesis
RE2635R,Bile acid synthesis
RE2636R,Bile acid synthesis
RE2637C,Bile acid synthesis
RE2637X,Bile acid synthesis
RE2638C,Bile acid synthesis
RE2649C,Bile acid synthesis
RE3346C,Bile acid synthesis
RE1796M,Bile acid synthesis
HSD3B7,Bile acid synthesis
RE1803C,Bile acid synthesis
RE1804C,Bile acid synthesis
RE1807M,Bile acid synthesis
RE1834C,Bile acid synthesis
RE1834X,Bile acid synthesis
RE1836C,Bile acid synthesis
SCP3x,Bile acid synthesis
BAAT5x,Bile acid synthesis
RE1846C,Bile acid synthesis
RE2814R,Bile acid synthesis
HC02195c,Bile acid synthesis
HC02196c,Bile acid synthesis
HC02194c,Bile acid synthesis
URSCHOLCOAc,Bile acid synthesis
HMR_1737,Bile acid synthesis
HMR_1739,Bile acid synthesis
HMR_1741,Bile acid synthesis
HMR_1742,Bile acid synthesis
HMR_1743,Bile acid synthesis
HMR_1749,Bile acid synthesis
HMR_1750,Bile acid synthesis
HMR_1751,Bile acid synthesis
HMR_1754,Bile acid synthesis
HMR_1760,Bile acid synthesis
HMR_1761,Bile acid synthesis
HMR_1766,Bile acid synthesis
HMR_1769,Bile acid synthesis
HMR_1770,Bile acid synthesis
HMR_1807,Bile acid synthesis
HMR_1834,Bile acid synthesis
HMR_1847,Bile acid synthesis
HMR_1681,Bile acid synthesis
HMR_1685,Bile acid synthesis
HMR_1735,Bile acid synthesis
CA24GSc,Bile acid synthesis
CDCA24GSc,Bile acid synthesis
CDCA24GSr,Bile acid synthesis
CDCA3GSc,Bile acid synthesis
CDCA3GSr,Bile acid synthesis
DCA24GSc,Bile acid synthesis
DCA3GSc,Bile acid synthesis
DCASULT,Bile acid synthesis
HDCA24GSc,Bile acid synthesis
HDCA24GSr,Bile acid synthesis
HDCA6GSr,Bile acid synthesis
LCA24GSc,Bile acid synthesis
LCA24GSr,Bile acid synthesis
LCA3GSc,Bile acid synthesis
LCASULT,Bile acid synthesis
TCDCASULT,Bile acid synthesis
TDCASULT,Bile acid synthesis
GCDCASULT,Bile acid synthesis
GDCASULT,Bile acid synthesis
HCA24GSc,Bile acid synthesis
HCA6GSc,Bile acid synthesis
HCA6GSr,Bile acid synthesis
UDCASULT,Bile acid synthesis
P45027A12m,Bile acid synthesis
P45027A16m,Bile acid synthesis
P45027A1m,Bile acid synthesis
P45039A1r,Bile acid synthesis
P4508B13r,Bile acid synthesis
SCPx,Bile acid synthesis
VLCS2r,Bile acid synthesis
VLCSr,Bile acid synthesis
r0651,Bile acid synthesis
r0739,Bile acid synthesis
r0741,Bile acid synthesis
r0747,Bile acid synthesis
r1025,Bile acid synthesis
3DHDCAS,Bile acid synthesis
BIOMASS_reaction,Biomass and maintenance functions
BIOMASS_maintenance,Biomass and maintenance functions
BIOMASS_maintenance_noTrTr,Biomass and maintenance functions
ATPM,Biomass and maintenance functions
APOCFm,Biotin metabolism
APOC_LYS_BTNP,Biotin metabolism
BACCL,Biotin metabolism
BTNDm,Biotin metabolism
BTNPL,Biotin metabolism
APOCF,Biotin metabolism
APOC_LYS_BTNPm,Biotin metabolism
BACCLm,Biotin metabolism
BTND1,Biotin metabolism
BTND1n,Biotin metabolism
BTNDe,Biotin metabolism
BTNPLm,Biotin metabolism
ABO1g,Blood group synthesis
ABO4g,Blood group synthesis
ABO5g,Blood group synthesis
ABO6g,Blood group synthesis
ABO7g,Blood group synthesis
ABO9g,Blood group synthesis
B3GALTg,Blood group synthesis
B3GNT11g,Blood group synthesis
B3GNT310g,Blood group synthesis
B3GNT315g,Blood group synthesis
B3GNT51g,Blood group synthesis
FUT15g,Blood group synthesis
FUT16g,Blood group synthesis
FUT32g,Blood group synthesis
FUT911g,Blood group synthesis
FUT91g,Blood group synthesis
FUT94g,Blood group synthesis
FUT96g,Blood group synthesis
FUT97g,Blood group synthesis
FUT99g,Blood group synthesis
ST3GAL61g,Blood group synthesis
ST3GAL31g,Blood group synthesis
ST8SIA56g,Blood group synthesis
HMR_8271,Blood group synthesis
ABO2g,Blood group synthesis
ABO3g,Blood group synthesis
ABO8g,Blood group synthesis
B3GNT12g,Blood group synthesis
B3GNT311g,Blood group synthesis
B3GNT312g,Blood group synthesis
B3GNT313g,Blood group synthesis
B3GNT314g,Blood group synthesis
HMR_8287,Blood group synthesis
FUT12g,Blood group synthesis
FUT14g,Blood group synthesis
FUT17g,Blood group synthesis
FUT18g,Blood group synthesis
FUT33g,Blood group synthesis
FUT34g,Blood group synthesis
FUT35g,Blood group synthesis
FUT910g,Blood group synthesis
FUT92g,Blood group synthesis
FUT93g,Blood group synthesis
FUT95g,Blood group synthesis
FUT98g,Blood group synthesis
GCNTg,Blood group synthesis
ST3GAL62g,Blood group synthesis
BDHm,Butanoate metabolism
3HBCDm,Butanoate metabolism
ACOAD1fm,Butanoate metabolism
ITCOALm,C5-branched dibasic acid metabolism
MECOALm,C5-branched dibasic acid metabolism
MECOAS1m,C5-branched dibasic acid metabolism
MESCOALm,C5-branched dibasic acid metabolism
MGACONm,C5-branched dibasic acid metabolism
CITMCOAHm,C5-branched dibasic acid metabolism
CITMCOALm,C5-branched dibasic acid metabolism
ITCOAL1m,C5-branched dibasic acid metabolism
C3STDH1r,Cholesterol metabolism
C4STMO1r,Cholesterol metabolism
C4STMO2Pr,Cholesterol metabolism
DMATTx,Cholesterol metabolism
HMGCOASm,Cholesterol metabolism
HMGLm,Cholesterol metabolism
HMGLx,Cholesterol metabolism
LSTO1r,Cholesterol metabolism
SQLEr,Cholesterol metabolism
SQLSr,Cholesterol metabolism
r0463,Cholesterol metabolism
HMGCOAR,Cholesterol metabolism
LNS14DMr,Cholesterol metabolism
RE3180C,Cholesterol metabolism
LCAT20e,Cholesterol metabolism
LCAT22e,Cholesterol metabolism
LCAT27e,Cholesterol metabolism
LCAT29e,Cholesterol metabolism
LCAT31e,Cholesterol metabolism
LCAT33e,Cholesterol metabolism
LCAT34e,Cholesterol metabolism
LCAT36e,Cholesterol metabolism
LCAT39e,Cholesterol metabolism
LCAT42e,Cholesterol metabolism
LCAT43e,Cholesterol metabolism
LCAT44e,Cholesterol metabolism
LCAT45e,Cholesterol metabolism
LCAT46e,Cholesterol metabolism
LCAT49e,Cholesterol metabolism
LCAT50e,Cholesterol metabolism
LCAT52e,Cholesterol metabolism
LCAT10e,Cholesterol metabolism
LCAT11e,Cholesterol metabolism
LCAT14e,Cholesterol metabolism
LCAT6e,Cholesterol metabolism
LCAT7e,Cholesterol metabolism
LCAT55e,Cholesterol metabolism
LCAT8e,Cholesterol metabolism
LCAT16e,Cholesterol metabolism
LCAT17e,Cholesterol metabolism
XOLEST182CEH,Cholesterol metabolism
XOLEST226CEH,Cholesterol metabolism
DMATT,Cholesterol metabolism
GRTT,Cholesterol metabolism
MVLACc,Cholesterol metabolism
HMR_1465,Cholesterol metabolism
SMO,Cholesterol metabolism
LNSTLS,Cholesterol metabolism
HMR_1479,Cholesterol metabolism
C3STDH1,Cholesterol metabolism
HMR_1502,Cholesterol metabolism
HMR_1503,Cholesterol metabolism
HMR_1505,Cholesterol metabolism
CHLSTI_1,Cholesterol metabolism
DSMSTOLR,Cholesterol metabolism
HMR_1536,Cholesterol metabolism
HMR_1538,Cholesterol metabolism
HMR_1539,Cholesterol metabolism
HMR_1543,Cholesterol metabolism
HMR_1547,Cholesterol metabolism
HMR_1549,Cholesterol metabolism
HMR_1550,Cholesterol metabolism
HMR_1551,Cholesterol metabolism
HMR_3625,Cholesterol metabolism
HMR_3626,Cholesterol metabolism
HMR_3630,Cholesterol metabolism
HMR_3636,Cholesterol metabolism
HMR_3637,Cholesterol metabolism
HMR_3639,Cholesterol metabolism
HMR_3695,Cholesterol metabolism
HMR_3696,Cholesterol metabolism
HMR_3703,Cholesterol metabolism
HMR_3708,Cholesterol metabolism
HMR_3709,Cholesterol metabolism
HMR_3710,Cholesterol metabolism
HMR_3712,Cholesterol metabolism
HMR_3713,Cholesterol metabolism
HMR_3714,Cholesterol metabolism
HMR_3640,Cholesterol metabolism
HMR_3644,Cholesterol metabolism
HMR_3647,Cholesterol metabolism
HMR_3715,Cholesterol metabolism
HMR_3716,Cholesterol metabolism
HMR_3719,Cholesterol metabolism
HMR_3650,Cholesterol metabolism
HMR_3722,Cholesterol metabolism
HMR_3656,Cholesterol metabolism
HMR_3657,Cholesterol metabolism
HMR_3658,Cholesterol metabolism
HMR_3723,Cholesterol metabolism
HMR_3725,Cholesterol metabolism
HMR_3727,Cholesterol metabolism
HMR_3662,Cholesterol metabolism
HMR_3728,Cholesterol metabolism
HMR_3734,Cholesterol metabolism
HMR_3736,Cholesterol metabolism
HMR_3664,Cholesterol metabolism
HMR_3665,Cholesterol metabolism
HMR_3666,Cholesterol metabolism
HMR_3667,Cholesterol metabolism
HMR_3739,Cholesterol metabolism
HMR_3670,Cholesterol metabolism
HMR_3675,Cholesterol metabolism
HMR_3681,Cholesterol metabolism
HMR_3682,Cholesterol metabolism
HMR_3685,Cholesterol metabolism
HMR_3686,Cholesterol metabolism
HMR_3688,Cholesterol metabolism
HMR_3694,Cholesterol metabolism
HMGCOARx,Cholesterol metabolism
C14STR,Cholesterol metabolism
HMR_1467,Cholesterol metabolism
HMR_1500,Cholesterol metabolism
ACACT1x,Cholesterol metabolism
C14STRr,Cholesterol metabolism
C3STDH1Pr,Cholesterol metabolism
C3STKR2r,Cholesterol metabolism
C4STMO2r,Cholesterol metabolism
DHCR241r,Cholesterol metabolism
DHCR242r,Cholesterol metabolism
DHCR243r,Cholesterol metabolism
DHCR71r,Cholesterol metabolism
DHCR72r,Cholesterol metabolism
DPMVDx,Cholesterol metabolism
EBP1r,Cholesterol metabolism
EBP2r,Cholesterol metabolism
RE2407C,Cholesterol metabolism
RE2410C,Cholesterol metabolism
LCAT12e,Cholesterol metabolism
LCAT13e,Cholesterol metabolism
LCAT54e,Cholesterol metabolism
LCAT15e,Cholesterol metabolism
CHOLESACATc_1,Cholesterol metabolism
LCAT18e,Cholesterol metabolism
LCAT19e,Cholesterol metabolism
LCAT21e,Cholesterol metabolism
LCAT23e,Cholesterol metabolism
LCAT25e,Cholesterol metabolism
LCAT2e,Cholesterol metabolism
LCAT30e,Cholesterol metabolism
LCAT32e,Cholesterol metabolism
LCAT35e,Cholesterol metabolism
LCAT37e,Cholesterol metabolism
LCAT38e,Cholesterol metabolism
LCAT3e,Cholesterol metabolism
LCAT40e,Cholesterol metabolism
LCAT41e,Cholesterol metabolism
LCAT56e,Cholesterol metabolism
LCAT47e,Cholesterol metabolism
LCAT48e,Cholesterol metabolism
LCAT4e,Cholesterol metabolism
LCAT51e,Cholesterol metabolism
LCAT53e,Cholesterol metabolism
LCAT57e,Cholesterol metabolism
LCAT5e,Cholesterol metabolism
LCAT9e,Cholesterol metabolism
XOLEST183CEH,Cholesterol metabolism
XOLEST205CEH,Cholesterol metabolism
HMR_3627,Cholesterol metabolism
HMR_3628,Cholesterol metabolism
HMR_3629,Cholesterol metabolism
HMR_3631,Cholesterol metabolism
HMR_3633,Cholesterol metabolism
HMR_3635,Cholesterol metabolism
HMR_3642,Cholesterol metabolism
HMR_3645,Cholesterol metabolism
HMR_3646,Cholesterol metabolism
HMR_3648,Cholesterol metabolism
HMR_3649,Cholesterol metabolism
HMR_3651,Cholesterol metabolism
HMR_3652,Cholesterol metabolism
HMR_3653,Cholesterol metabolism
HMR_3654,Cholesterol metabolism
HMR_3655,Cholesterol metabolism
HMR_3659,Cholesterol metabolism
HMR_3660,Cholesterol metabolism
HMR_3663,Cholesterol metabolism
HMR_3668,Cholesterol metabolism
HMR_3669,Cholesterol metabolism
HMR_3677,Cholesterol metabolism
HMR_3678,Cholesterol metabolism
HMR_3679,Cholesterol metabolism
HMR_3680,Cholesterol metabolism
HMR_3684,Cholesterol metabolism
HMR_3687,Cholesterol metabolism
HMR_3689,Cholesterol metabolism
HMR_3690,Cholesterol metabolism
HMR_3692,Cholesterol metabolism
HMR_1477,Cholesterol metabolism
HMR_1478,Cholesterol metabolism
HMR_1490,Cholesterol metabolism
HMR_1493,Cholesterol metabolism
HMR_1494,Cholesterol metabolism
HMR_1495,Cholesterol metabolism
HMR_1504,Cholesterol metabolism
HMR_1509,Cholesterol metabolism
HMR_1516,Cholesterol metabolism
HMR_1540,Cholesterol metabolism
HMR_1544,Cholesterol metabolism
HMR_1545,Cholesterol metabolism
HMR_1546,Cholesterol metabolism
HMR_1548,Cholesterol metabolism
HMR_1552,Cholesterol metabolism
HMR_1557,Cholesterol metabolism
LTHSTRLOR,Cholesterol metabolism
HMR_1565,Cholesterol metabolism
HMR_3698,Cholesterol metabolism
HMR_3699,Cholesterol metabolism
HMR_3701,Cholesterol metabolism
HMR_3704,Cholesterol metabolism
HMR_3705,Cholesterol metabolism
HMR_3706,Cholesterol metabolism
HMR_3707,Cholesterol metabolism
HMR_3711,Cholesterol metabolism
HMR_3717,Cholesterol metabolism
HMR_3718,Cholesterol metabolism
HMR_3721,Cholesterol metabolism
HMR_3724,Cholesterol metabolism
HMR_3726,Cholesterol metabolism
HMR_3729,Cholesterol metabolism
HMR_3737,Cholesterol metabolism
HMR_3738,Cholesterol metabolism
HMR_3740,Cholesterol metabolism
HMR_3741,Cholesterol metabolism
GRTTx,Cholesterol metabolism
HMGCOAS,Cholesterol metabolism
IPDDIx,Cholesterol metabolism
LNS14DM,Cholesterol metabolism
LNSTLSr,Cholesterol metabolism
LSTO2r,Cholesterol metabolism
MEVK1x,Cholesterol metabolism
P450SCC1m,Cholesterol metabolism
PMEVKx,Cholesterol metabolism
SOAT12,Cholesterol metabolism
r0170,Cholesterol metabolism
r0321,Cholesterol metabolism
r0575,Cholesterol metabolism
r0783,Cholesterol metabolism
r1380,Cholesterol metabolism
RE3134C,Cholesterol metabolism
CHLSTD78I,Cholesterol metabolism
RE3181C,Cholesterol metabolism
CSAPASEly,Chondroitin sulfate degradation
CSCPASEly,Chondroitin sulfate degradation
CSEPASEly,Chondroitin sulfate degradation
GLCAASE4ly,Chondroitin sulfate degradation
GLCAASE6ly,Chondroitin sulfate degradation
GLCAASE7ly,Chondroitin sulfate degradation
IDOAASE4ly,Chondroitin sulfate degradation
LINKDEG2ly,Chondroitin sulfate degradation
LINKDEG3ly,Chondroitin sulfate degradation
NACHEX1ly,Chondroitin sulfate degradation
NACHEX3ly,Chondroitin sulfate degradation
NACHEX5ly,Chondroitin sulfate degradation
NACHEX6ly,Chondroitin sulfate degradation
NACHEX7ly,Chondroitin sulfate degradation
NACHEX8ly,Chondroitin sulfate degradation
NACHEX9ly,Chondroitin sulfate degradation
NACHEXA2ly,Chondroitin sulfate degradation
NACHEXA3ly,Chondroitin sulfate degradation
NACHEXA4ly,Chondroitin sulfate degradation
NACHEXA5ly,Chondroitin sulfate degradation
NACHEXA7ly,Chondroitin sulfate degradation
S2TASE3ly,Chondroitin sulfate degradation
S2TASE5ly,Chondroitin sulfate degradation
S4TASE1ly,Chondroitin sulfate degradation
S4TASE2ly,Chondroitin sulfate degradation
S4TASE3ly,Chondroitin sulfate degradation
S4TASE4ly,Chondroitin sulfate degradation
S6TASE5ly,Chondroitin sulfate degradation
S6TASE6ly,Chondroitin sulfate degradation
S6TASE8ly,Chondroitin sulfate degradation
CSBPASEly,Chondroitin sulfate degradation
CSDPASEly,Chondroitin sulfate degradation
GLCAASE5ly,Chondroitin sulfate degradation
LINKDEG4ly,Chondroitin sulfate degradation
NACHEX2ly,Chondroitin sulfate degradation
NACHEX4ly,Chondroitin sulfate degradation
NACHEXA1ly,Chondroitin sulfate degradation
NACHEXA6ly,Chondroitin sulfate degradation
NACHEXA8ly,Chondroitin sulfate degradation
S2TASE4ly,Chondroitin sulfate degradation
S4TASE5ly,Chondroitin sulfate degradation
S6TASE4ly,Chondroitin sulfate degradation
S6TASE7ly,Chondroitin sulfate degradation
S6TASE9ly,Chondroitin sulfate degradation
GALNACT1g,Chondroitin synthesis
GALNACT2g,Chondroitin synthesis
GALNACT3g,Chondroitin synthesis
GALNACT4g,Chondroitin synthesis
GALNACT5g,Chondroitin synthesis
GALT2g,Chondroitin synthesis
GLCAT4g,Chondroitin synthesis
GLCAT5g,Chondroitin synthesis
GLCAT6g,Chondroitin synthesis
GLCAT7g,Chondroitin synthesis
GLCAT8g,Chondroitin synthesis
GLCNACDASg,Chondroitin synthesis
GLCNACT2g,Chondroitin synthesis
GLCNACT5g,Chondroitin synthesis
S2T1g,Chondroitin synthesis
S2T3g,Chondroitin synthesis
S2T4g,Chondroitin synthesis
S4T2g,Chondroitin synthesis
S4T3g,Chondroitin synthesis
S4T4g,Chondroitin synthesis
S4T5g,Chondroitin synthesis
S4T6g,Chondroitin synthesis
S6T20g,Chondroitin synthesis
S6T21g,Chondroitin synthesis
S6T24g,Chondroitin synthesis
S6T25g,Chondroitin synthesis
XYLTer,Chondroitin synthesis
GALTg,Chondroitin synthesis
GLCAE1g,Chondroitin synthesis
GLCAE2g,Chondroitin synthesis
GLCAT2g,Chondroitin synthesis
GLCAT3g,Chondroitin synthesis
GLCAT9g,Chondroitin synthesis
GLCATg,Chondroitin synthesis
GLCNACT1g,Chondroitin synthesis
GLCNACT3g,Chondroitin synthesis
GLCNACT4g,Chondroitin synthesis
S2T2g,Chondroitin synthesis
S3T1g,Chondroitin synthesis
S3T2g,Chondroitin synthesis
S3T3g,Chondroitin synthesis
S4T1g,Chondroitin synthesis
S6T19g,Chondroitin synthesis
S6T22g,Chondroitin synthesis
S6T23g,Chondroitin synthesis
ACONTm,Citric acid cycle
ICDHyr,Citric acid cycle
ICDHyp,Citric acid cycle
SUCD1m,Citric acid cycle
MDHp,Citric acid cycle
CITL,Citric acid cycle
MDH,Citric acid cycle
ACONT,Citric acid cycle
ACITL,Citric acid cycle
AKGDm,Citric acid cycle
CSm,Citric acid cycle
FUM,Citric acid cycle
FUMm,Citric acid cycle
ICDHxm,Citric acid cycle
